Point,Output,Nominal,Pass/Fail
120,Pass,0,
"Parameters: PW=6p, Vdd_main=1.025",,,
121,Vdd_col,1.025,
121,PW,6e-12,
121,Pass,0,
"Parameters: PW=6p, Vdd_main=1.03",,,
122,Vdd_col,1.03,
122,PW,6e-12,
122,Pass,0,
"Parameters: PW=6p, Vdd_main=1.035",,,
123,Vdd_col,1.035,
123,PW,6e-12,
123,Pass,0,
"Parameters: PW=6p, Vdd_main=1.04",,,
124,Vdd_col,1.04,
124,PW,6e-12,
124,Pass,0,
"Parameters: PW=6p, Vdd_main=1.045",,,
125,Vdd_col,1.045,
125,PW,6e-12,
125,Pass,0,
"Parameters: PW=6p, Vdd_main=1.05",,,
126,Vdd_col,1.05,
126,PW,6e-12,
126,Pass,0,
"Parameters: PW=7p, Vdd_main=950m",,,
127,Vdd_col,950e-3,
127,PW,7e-12,
127,Pass,0,
"Parameters: PW=7p, Vdd_main=955m",,,
128,Vdd_col,955e-3,
128,PW,7e-12,
128,Pass,0,
"Parameters: PW=7p, Vdd_main=960m",,,
129,Vdd_col,960e-3,
129,PW,7e-12,
129,Pass,0,
"Parameters: PW=7p, Vdd_main=965m",,,
130,Vdd_col,965e-3,
130,PW,7e-12,
130,Pass,0,
"Parameters: PW=7p, Vdd_main=970m",,,
131,Vdd_col,970e-3,
131,PW,7e-12,
131,Pass,0,
"Parameters: PW=7p, Vdd_main=975m",,,
132,Vdd_col,975e-3,
132,PW,7e-12,
132,Pass,0,
"Parameters: PW=7p, Vdd_main=980m",,,
133,Vdd_col,980e-3,
133,PW,7e-12,
133,Pass,0,
"Parameters: PW=7p, Vdd_main=985m",,,
134,Vdd_col,985e-3,
134,PW,7e-12,
134,Pass,0,
"Parameters: PW=7p, Vdd_main=990m",,,
135,Vdd_col,990e-3,
135,PW,7e-12,
135,Pass,0,
"Parameters: PW=7p, Vdd_main=995m",,,
136,Vdd_col,995e-3,
136,PW,7e-12,
136,Pass,0,
"Parameters: PW=7p, Vdd_main=1",,,
137,Vdd_col,1,
137,PW,7e-12,
137,Pass,0,
"Parameters: PW=7p, Vdd_main=1.005",,,
138,Vdd_col,1.005,
138,PW,7e-12,
138,Pass,0,
"Parameters: PW=7p, Vdd_main=1.01",,,
139,Vdd_col,1.01,
139,PW,7e-12,
139,Pass,0,
"Parameters: PW=7p, Vdd_main=1.015",,,
140,Vdd_col,1.015,
140,PW,7e-12,
140,Pass,0,
"Parameters: PW=7p, Vdd_main=1.02",,,
141,Vdd_col,1.02,
141,PW,7e-12,
141,Pass,0,
"Parameters: PW=7p, Vdd_main=1.025",,,
142,Vdd_col,1.025,
142,PW,7e-12,
142,Pass,0,
"Parameters: PW=7p, Vdd_main=1.03",,,
143,Vdd_col,1.03,
143,PW,7e-12,
143,Pass,0,
"Parameters: PW=7p, Vdd_main=1.035",,,
144,Vdd_col,1.035,
144,PW,7e-12,
144,Pass,0,
"Parameters: PW=7p, Vdd_main=1.04",,,
145,Vdd_col,1.04,
145,PW,7e-12,
145,Pass,0,
"Parameters: PW=7p, Vdd_main=1.045",,,
146,Vdd_col,1.045,
146,PW,7e-12,
146,Pass,0,
