Xidx,Yidx,Vdd,BLB_Vdd,Pass
21,13,1.0,-0.1,1
1,14,0.5,-0.0875,1
2,14,0.525,-0.0875,1
3,14,0.55,-0.0875,1
4,14,0.575,-0.0875,1
5,14,0.6,-0.0875,1
6,14,0.625,-0.0875,1
7,14,0.65,-0.0875,1
8,14,0.675,-0.0875,1
9,14,0.7,-0.0875,1
10,14,0.725,-0.0875,1
11,14,0.75,-0.0875,1
12,14,0.775,-0.0875,1
13,14,0.8,-0.0875,1
14,14,0.825,-0.0875,1
15,14,0.85,-0.0875,1
16,14,0.875,-0.0875,1
17,14,0.9,-0.0875,1
18,14,0.925,-0.0875,1
19,14,0.95,-0.0875,1
20,14,0.975,-0.0875,1
21,14,1.0,-0.0875,1
1,15,0.5,-0.075,1
2,15,0.525,-0.075,1
3,15,0.55,-0.075,1
4,15,0.575,-0.075,1
5,15,0.6,-0.075,1
6,15,0.625,-0.075,1
7,15,0.65,-0.075,1
8,15,0.675,-0.075,1
9,15,0.7,-0.075,1
10,15,0.725,-0.075,1
11,15,0.75,-0.075,1
12,15,0.775,-0.075,1
13,15,0.8,-0.075,1
14,15,0.825,-0.075,1
15,15,0.85,-0.075,1
16,15,0.875,-0.075,1
17,15,0.9,-0.075,1
18,15,0.925,-0.075,1
19,15,0.95,-0.075,1
20,15,0.975,-0.075,1
21,15,1.0,-0.075,0
1,16,0.5,-0.0625,1
2,16,0.525,-0.0625,1
3,16,0.55,-0.0625,1
4,16,0.575,-0.0625,1
5,16,0.6,-0.0625,1
6,16,0.625,-0.0625,1
7,16,0.65,-0.0625,1
8,16,0.675,-0.0625,1
9,16,0.7,-0.0625,1
10,16,0.725,-0.0625,1
11,16,0.75,-0.0625,1
12,16,0.775,-0.0625,1
13,16,0.8,-0.0625,1
14,16,0.825,-0.0625,1
15,16,0.85,-0.0625,1
16,16,0.875,-0.0625,1
17,16,0.9,-0.0625,1
18,16,0.925,-0.0625,1
19,16,0.95,-0.0625,1
20,16,0.975,-0.0625,0
21,16,1.0,-0.0625,0
1,17,0.5,-0.05,1
2,17,0.525,-0.05,1
3,17,0.55,-0.05,1
4,17,0.575,-0.05,1
5,17,0.6,-0.05,1
6,17,0.625,-0.05,1
7,17,0.65,-0.05,1
8,17,0.675,-0.05,1
9,17,0.7,-0.05,1
10,17,0.725,-0.05,1
11,17,0.75,-0.05,1
12,17,0.775,-0.05,1
13,17,0.8,-0.05,1
14,17,0.825,-0.05,1
15,17,0.85,-0.05,1
16,17,0.875,-0.05,1
17,17,0.9,-0.05,1
18,17,0.925,-0.05,1
19,17,0.95,-0.05,0
20,17,0.975,-0.05,0
21,17,1.0,-0.05,0
1,18,0.5,-0.0375,1
2,18,0.525,-0.0375,1
3,18,0.55,-0.0375,1
4,18,0.575,-0.0375,1
5,18,0.6,-0.0375,1
6,18,0.625,-0.0375,1
7,18,0.65,-0.0375,1
8,18,0.675,-0.0375,1
9,18,0.7,-0.0375,1
10,18,0.725,-0.0375,1
11,18,0.75,-0.0375,1
12,18,0.775,-0.0375,1
13,18,0.8,-0.0375,1
14,18,0.825,-0.0375,1
15,18,0.85,-0.0375,1
16,18,0.875,-0.0375,1
17,18,0.9,-0.0375,1
18,18,0.925,-0.0375,0
19,18,0.95,-0.0375,0
20,18,0.975,-0.0375,0
21,18,1.0,-0.0375,0
1,19,0.5,-0.025,1
2,19,0.525,-0.025,1
3,19,0.55,-0.025,1
4,19,0.575,-0.025,1
5,19,0.6,-0.025,1
6,19,0.625,-0.025,1
7,19,0.65,-0.025,1
8,19,0.675,-0.025,1
9,19,0.7,-0.025,1
10,19,0.725,-0.025,1
11,19,0.75,-0.025,1
12,19,0.775,-0.025,1
13,19,0.8,-0.025,1
14,19,0.825,-0.025,1
15,19,0.85,-0.025,1
16,19,0.875,-0.025,1
17,19,0.9,-0.025,0
18,19,0.925,-0.025,0
19,19,0.95,-0.025,0
20,19,0.975,-0.025,0
21,19,1.0,-0.025,0
1,20,0.5,-0.0125,1
2,20,0.525,-0.0125,1
3,20,0.55,-0.0125,1
4,20,0.575,-0.0125,1
5,20,0.6,-0.0125,1
6,20,0.625,-0.0125,1
7,20,0.65,-0.0125,1
8,20,0.675,-0.0125,1
9,20,0.7,-0.0125,1
10,20,0.725,-0.0125,1
11,20,0.75,-0.0125,1
12,20,0.775,-0.0125,1
13,20,0.8,-0.0125,1
14,20,0.825,-0.0125,1
15,20,0.85,-0.0125,1
16,20,0.875,-0.0125,0
17,20,0.9,-0.0125,0
18,20,0.925,-0.0125,0
19,20,0.95,-0.0125,0
20,20,0.975,-0.0125,0
21,20,1.0,-0.0125,0
1,21,0.5,0,1
2,21,0.525,0,1
3,21,0.55,0,1
4,21,0.575,0,1
5,21,0.6,0,1
6,21,0.625,0,1
7,21,0.65,0,1
8,21,0.675,0,1
9,21,0.7,0,1
10,21,0.725,0,1
11,21,0.75,0,1
12,21,0.775,0,1
13,21,0.8,0,1
14,21,0.825,0,1
15,21,0.85,0,1
16,21,0.875,0,0
17,21,0.9,0,0
18,21,0.925,0,0
19,21,0.95,0,0
20,21,0.975,0,0
21,21,1.0,0,0
