Xidx,Yidx,PW,Vdd,Pass
10,17,10.0,1.03,0
11,17,11.0,1.03,0
12,17,12.0,1.03,1
13,17,13.0,1.03,1
14,17,14.0,1.03,1
15,17,15.0,1.03,1
16,17,16.0,1.03,1
17,17,17.0,1.03,1
18,17,18.0,1.03,1
19,17,19.0,1.03,1
20,17,20.0,1.03,1
21,17,21.0,1.03,1
1,18,1.0,1.035,0
2,18,2.0,1.035,0
3,18,3.0,1.035,0
4,18,4.0,1.035,0
5,18,5.0,1.035,0
6,18,6.0,1.035,0
7,18,7.0,1.035,0
8,18,8.0,1.035,0
9,18,9.0,1.035,0
10,18,10.0,1.035,0
11,18,11.0,1.035,0
12,18,12.0,1.035,1
13,18,13.0,1.035,1
14,18,14.0,1.035,1
15,18,15.0,1.035,1
16,18,16.0,1.035,1
17,18,17.0,1.035,1
18,18,18.0,1.035,1
19,18,19.0,1.035,1
20,18,20.0,1.035,1
21,18,21.0,1.035,1
1,19,1.0,1.04,0
2,19,2.0,1.04,0
3,19,3.0,1.04,0
4,19,4.0,1.04,0
5,19,5.0,1.04,0
6,19,6.0,1.04,0
7,19,7.0,1.04,0
8,19,8.0,1.04,0
9,19,9.0,1.04,0
10,19,10.0,1.04,0
11,19,11.0,1.04,0
12,19,12.0,1.04,1
13,19,13.0,1.04,1
14,19,14.0,1.04,1
15,19,15.0,1.04,1
16,19,16.0,1.04,1
17,19,17.0,1.04,1
18,19,18.0,1.04,1
19,19,19.0,1.04,1
20,19,20.0,1.04,1
21,19,21.0,1.04,1
1,20,1.0,1.045,0
2,20,2.0,1.045,0
3,20,3.0,1.045,0
4,20,4.0,1.045,0
5,20,5.0,1.045,0
6,20,6.0,1.045,0
7,20,7.0,1.045,0
8,20,8.0,1.045,0
9,20,9.0,1.045,0
10,20,10.0,1.045,0
11,20,11.0,1.045,1
12,20,12.0,1.045,1
13,20,13.0,1.045,1
14,20,14.0,1.045,1
15,20,15.0,1.045,1
16,20,16.0,1.045,1
17,20,17.0,1.045,1
18,20,18.0,1.045,1
19,20,19.0,1.045,1
20,20,20.0,1.045,1
21,20,21.0,1.045,1
1,21,1.0,1.05,0
2,21,2.0,1.05,0
3,21,3.0,1.05,0
4,21,4.0,1.05,0
5,21,5.0,1.05,0
6,21,6.0,1.05,0
7,21,7.0,1.05,0
8,21,8.0,1.05,0
9,21,9.0,1.05,0
10,21,10.0,1.05,0
11,21,11.0,1.05,1
12,21,12.0,1.05,1
13,21,13.0,1.05,1
14,21,14.0,1.05,1
15,21,15.0,1.05,1
16,21,16.0,1.05,1
17,21,17.0,1.05,1
18,21,18.0,1.05,1
19,21,19.0,1.05,1
20,21,20.0,1.05,1
21,21,21.0,1.05,1
