Point,Output,Nominal,Pass/Fail
78,BLB_Vdd,-75e-3,
78,PW,4e-12,
78,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-62.5m",,,
79,BLB_Vdd,-62.5e-3,
79,PW,4e-12,
79,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-50m",,,
80,BLB_Vdd,-50e-3,
80,PW,4e-12,
80,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-37.5m",,,
81,BLB_Vdd,-37.5e-3,
81,PW,4e-12,
81,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-25m",,,
82,BLB_Vdd,-25e-3,
82,PW,4e-12,
82,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-12.5m",,,
83,BLB_Vdd,-12.5e-3,
83,PW,4e-12,
83,Pass,0,
"Parameters: PW=4p, BLB_Vdd=79.8a",,,
84,BLB_Vdd,79.8e-18,
84,PW,4e-12,
84,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-250m",,,
85,BLB_Vdd,-250e-3,
85,PW,5e-12,
85,Pass,1,
"Parameters: PW=5p, BLB_Vdd=-237.5m",,,
86,BLB_Vdd,-237.5e-3,
86,PW,5e-12,
86,Pass,1,
"Parameters: PW=5p, BLB_Vdd=-225m",,,
87,BLB_Vdd,-225e-3,
87,PW,5e-12,
87,Pass,1,
"Parameters: PW=5p, BLB_Vdd=-212.5m",,,
88,BLB_Vdd,-212.5e-3,
88,PW,5e-12,
88,Pass,1,
"Parameters: PW=5p, BLB_Vdd=-200m",,,
89,BLB_Vdd,-200e-3,
89,PW,5e-12,
89,Pass,1,
"Parameters: PW=5p, BLB_Vdd=-187.5m",,,
90,BLB_Vdd,-187.5e-3,
90,PW,5e-12,
90,Pass,1,
"Parameters: PW=5p, BLB_Vdd=-175m",,,
91,BLB_Vdd,-175e-3,
91,PW,5e-12,
91,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-162.5m",,,
92,BLB_Vdd,-162.5e-3,
92,PW,5e-12,
92,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-150m",,,
93,BLB_Vdd,-150e-3,
93,PW,5e-12,
93,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-137.5m",,,
94,BLB_Vdd,-137.5e-3,
94,PW,5e-12,
94,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-125m",,,
95,BLB_Vdd,-125e-3,
95,PW,5e-12,
95,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-112.5m",,,
96,BLB_Vdd,-112.5e-3,
96,PW,5e-12,
96,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-100m",,,
97,BLB_Vdd,-100e-3,
97,PW,5e-12,
97,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-87.5m",,,
98,BLB_Vdd,-87.5e-3,
98,PW,5e-12,
98,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-75m",,,
99,BLB_Vdd,-75e-3,
99,PW,5e-12,
99,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-62.5m",,,
100,BLB_Vdd,-62.5e-3,
100,PW,5e-12,
100,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-50m",,,
101,BLB_Vdd,-50e-3,
101,PW,5e-12,
101,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-37.5m",,,
102,BLB_Vdd,-37.5e-3,
102,PW,5e-12,
102,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-25m",,,
103,BLB_Vdd,-25e-3,
103,PW,5e-12,
103,Pass,0,
"Parameters: PW=5p, BLB_Vdd=-12.5m",,,
104,BLB_Vdd,-12.5e-3,
104,PW,5e-12,
104,Pass,0,
"Parameters: PW=5p, BLB_Vdd=79.8a",,,
105,BLB_Vdd,79.8e-18,
105,PW,5e-12,
105,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-250m",,,
106,BLB_Vdd,-250e-3,
106,PW,6e-12,
106,Pass,1,
"Parameters: PW=6p, BLB_Vdd=-237.5m",,,
107,BLB_Vdd,-237.5e-3,
107,PW,6e-12,
107,Pass,1,
"Parameters: PW=6p, BLB_Vdd=-225m",,,
108,BLB_Vdd,-225e-3,
108,PW,6e-12,
108,Pass,1,
"Parameters: PW=6p, BLB_Vdd=-212.5m",,,
109,BLB_Vdd,-212.5e-3,
109,PW,6e-12,
109,Pass,1,
"Parameters: PW=6p, BLB_Vdd=-200m",,,
110,BLB_Vdd,-200e-3,
110,PW,6e-12,
110,Pass,1,
"Parameters: PW=6p, BLB_Vdd=-187.5m",,,
111,BLB_Vdd,-187.5e-3,
111,PW,6e-12,
111,Pass,1,
"Parameters: PW=6p, BLB_Vdd=-175m",,,
112,BLB_Vdd,-175e-3,
112,PW,6e-12,
112,Pass,1,
"Parameters: PW=6p, BLB_Vdd=-162.5m",,,
113,BLB_Vdd,-162.5e-3,
