Point,Output,Nominal,Pass/Fail
70,PW,4e-12,
70,Pass,0,
"Parameters: PW=4p, Vdd_col=675m",,,
71,Vdd_col,675e-3,
71,PW,4e-12,
71,Pass,0,
"Parameters: PW=4p, Vdd_col=700m",,,
72,Vdd_col,700e-3,
72,PW,4e-12,
72,Pass,0,
"Parameters: PW=4p, Vdd_col=725m",,,
73,Vdd_col,725e-3,
73,PW,4e-12,
73,Pass,0,
"Parameters: PW=4p, Vdd_col=750m",,,
74,Vdd_col,750e-3,
74,PW,4e-12,
74,Pass,0,
"Parameters: PW=4p, Vdd_col=775m",,,
75,Vdd_col,775e-3,
75,PW,4e-12,
75,Pass,0,
"Parameters: PW=4p, Vdd_col=800m",,,
76,Vdd_col,800e-3,
76,PW,4e-12,
76,Pass,0,
"Parameters: PW=4p, Vdd_col=825m",,,
77,Vdd_col,825e-3,
77,PW,4e-12,
77,Pass,0,
"Parameters: PW=4p, Vdd_col=850m",,,
78,Vdd_col,850e-3,
78,PW,4e-12,
78,Pass,0,
"Parameters: PW=4p, Vdd_col=875m",,,
79,Vdd_col,875e-3,
79,PW,4e-12,
79,Pass,0,
"Parameters: PW=4p, Vdd_col=900m",,,
80,Vdd_col,900e-3,
80,PW,4e-12,
80,Pass,0,
"Parameters: PW=4p, Vdd_col=925m",,,
81,Vdd_col,925e-3,
81,PW,4e-12,
81,Pass,0,
"Parameters: PW=4p, Vdd_col=950m",,,
82,Vdd_col,950e-3,
82,PW,4e-12,
82,Pass,0,
"Parameters: PW=4p, Vdd_col=975m",,,
83,Vdd_col,975e-3,
83,PW,4e-12,
83,Pass,0,
"Parameters: PW=4p, Vdd_col=1",,,
84,Vdd_col,1,
84,PW,4e-12,
84,Pass,0,
"Parameters: PW=5p, Vdd_col=500m",,,
85,Vdd_col,500e-3,
85,PW,5e-12,
85,Pass,0,
"Parameters: PW=5p, Vdd_col=525m",,,
86,Vdd_col,525e-3,
86,PW,5e-12,
86,Pass,0,
"Parameters: PW=5p, Vdd_col=550m",,,
87,Vdd_col,550e-3,
87,PW,5e-12,
87,Pass,0,
"Parameters: PW=5p, Vdd_col=575m",,,
88,Vdd_col,575e-3,
88,PW,5e-12,
88,Pass,0,
"Parameters: PW=5p, Vdd_col=600m",,,
89,Vdd_col,600e-3,
89,PW,5e-12,
89,Pass,0,
"Parameters: PW=5p, Vdd_col=625m",,,
90,Vdd_col,625e-3,
90,PW,5e-12,
90,Pass,0,
"Parameters: PW=5p, Vdd_col=650m",,,
91,Vdd_col,650e-3,
91,PW,5e-12,
91,Pass,0,
"Parameters: PW=5p, Vdd_col=675m",,,
92,Vdd_col,675e-3,
92,PW,5e-12,
92,Pass,0,
"Parameters: PW=5p, Vdd_col=700m",,,
93,Vdd_col,700e-3,
93,PW,5e-12,
93,Pass,0,
"Parameters: PW=5p, Vdd_col=725m",,,
94,Vdd_col,725e-3,
94,PW,5e-12,
94,Pass,0,
"Parameters: PW=5p, Vdd_col=750m",,,
95,Vdd_col,750e-3,
95,PW,5e-12,
95,Pass,0,
"Parameters: PW=5p, Vdd_col=775m",,,
96,Vdd_col,775e-3,
96,PW,5e-12,
96,Pass,0,
"Parameters: PW=5p, Vdd_col=800m",,,
97,Vdd_col,800e-3,
97,PW,5e-12,
97,Pass,0,
"Parameters: PW=5p, Vdd_col=825m",,,
98,Vdd_col,825e-3,
98,PW,5e-12,
98,Pass,0,
"Parameters: PW=5p, Vdd_col=850m",,,
99,Vdd_col,850e-3,
99,PW,5e-12,
99,Pass,0,
"Parameters: PW=5p, Vdd_col=875m",,,
100,Vdd_col,875e-3,
100,PW,5e-12,
100,Pass,0,
"Parameters: PW=5p, Vdd_col=900m",,,
101,Vdd_col,900e-3,
101,PW,5e-12,
101,Pass,0,
"Parameters: PW=5p, Vdd_col=925m",,,
102,Vdd_col,925e-3,
102,PW,5e-12,
102,Pass,0,
"Parameters: PW=5p, Vdd_col=950m",,,
103,Vdd_col,950e-3,
103,PW,5e-12,
103,Pass,0,
"Parameters: PW=5p, Vdd_col=975m",,,
104,Vdd_col,975e-3,
104,PW,5e-12,
104,Pass,0,
"Parameters: PW=5p, Vdd_col=1",,,
105,Vdd_col,1,
105,PW,5e-12,
105,Pass,0,
"Parameters: PW=6p, Vdd_col=500m",,,
106,Vdd_col,500e-3,
106,PW,6e-12,
106,Pass,0,
"Parameters: PW=6p, Vdd_col=525m",,,
107,Vdd_col,525e-3,
107,PW,6e-12,
107,Pass,0,
"Parameters: PW=6p, Vdd_col=550m",,,
108,Vdd_col,550e-3,
108,PW,6e-12,
108,Pass,0,
"Parameters: PW=6p, Vdd_col=575m",,,
109,Vdd_col,575e-3,
109,PW,6e-12,
109,Pass,0,
"Parameters: PW=6p, Vdd_col=600m",,,
110,Vdd_col,600e-3,
110,PW,6e-12,
110,Pass,0,
"Parameters: PW=6p, Vdd_col=625m",,,
111,Vdd_col,625e-3,
111,PW,6e-12,
111,Pass,0,
"Parameters: PW=6p, Vdd_col=650m",,,
112,Vdd_col,650e-3,
112,PW,6e-12,
112,Pass,0,
"Parameters: PW=6p, Vdd_col=675m",,,
113,Vdd_col,675e-3,
113,PW,6e-12,
113,Pass,0,
"Parameters: PW=6p, Vdd_col=700m",,,
114,Vdd_col,700e-3,
114,PW,6e-12,
114,Pass,0,
"Parameters: PW=6p, Vdd_col=725m",,,
115,Vdd_col,725e-3,
115,PW,6e-12,
115,Pass,0,
"Parameters: PW=6p, Vdd_col=750m",,,
116,Vdd_col,750e-3,
116,PW,6e-12,
116,Pass,0,
"Parameters: PW=6p, Vdd_col=775m",,,
117,Vdd_col,775e-3,
117,PW,6e-12,
117,Pass,0,
"Parameters: PW=6p, Vdd_col=800m",,,
118,Vdd_col,800e-3,
118,PW,6e-12,
118,Pass,0,
"Parameters: PW=6p, Vdd_col=825m",,,
119,Vdd_col,825e-3,
119,PW,6e-12,
119,Pass,0,
"Parameters: PW=6p, Vdd_col=850m",,,
120,Vdd_col,850e-3,
120,PW,6e-12,
120,Pass,0,
"Parameters: PW=6p, Vdd_col=875m",,,
121,Vdd_col,875e-3,
121,PW,6e-12,
121,Pass,0,
"Parameters: PW=6p, Vdd_col=900m",,,
122,Vdd_col,900e-3,
122,PW,6e-12,
122,Pass,0,
"Parameters: PW=6p, Vdd_col=925m",,,
123,Vdd_col,925e-3,
123,PW,6e-12,
123,Pass,0,
"Parameters: PW=6p, Vdd_col=950m",,,
124,Vdd_col,950e-3,
124,PW,6e-12,
124,Pass,0,
"Parameters: PW=6p, Vdd_col=975m",,,
125,Vdd_col,975e-3,
125,PW,6e-12,
125,Pass,0,
"Parameters: PW=6p, Vdd_col=1",,,
126,Vdd_col,1,
126,PW,6e-12,
126,Pass,0,
"Parameters: PW=7p, Vdd_col=500m",,,
127,Vdd_col,500e-3,
127,PW,7e-12,
127,Pass,0,
"Parameters: PW=7p, Vdd_col=525m",,,
128,Vdd_col,525e-3,
128,PW,7e-12,
128,Pass,0,
"Parameters: PW=7p, Vdd_col=550m",,,
129,Vdd_col,550e-3,
129,PW,7e-12,
129,Pass,0,
"Parameters: PW=7p, Vdd_col=575m",,,
130,Vdd_col,575e-3,
130,PW,7e-12,
130,Pass,1,
"Parameters: PW=7p, Vdd_col=600m",,,
131,Vdd_col,600e-3,
131,PW,7e-12,
131,Pass,1,
"Parameters: PW=7p, Vdd_col=625m",,,
132,Vdd_col,625e-3,
132,PW,7e-12,
132,Pass,1,
"Parameters: PW=7p, Vdd_col=650m",,,
133,Vdd_col,650e-3,
133,PW,7e-12,
133,Pass,1,
"Parameters: PW=7p, Vdd_col=675m",,,
134,Vdd_col,675e-3,
134,PW,7e-12,
134,Pass,1,
"Parameters: PW=7p, Vdd_col=700m",,,
135,Vdd_col,700e-3,
135,PW,7e-12,
135,Pass,1,
"Parameters: PW=7p, Vdd_col=725m",,,
136,Vdd_col,725e-3,
136,PW,7e-12,
136,Pass,1,
"Parameters: PW=7p, Vdd_col=750m",,,
137,Vdd_col,750e-3,
137,PW,7e-12,
137,Pass,1,
"Parameters: PW=7p, Vdd_col=775m",,,
138,Vdd_col,775e-3,
138,PW,7e-12,
138,Pass,0,
"Parameters: PW=7p, Vdd_col=800m",,,
139,Vdd_col,800e-3,
139,PW,7e-12,
139,Pass,0,
"Parameters: PW=7p, Vdd_col=825m",,,
140,Vdd_col,825e-3,
140,PW,7e-12,
140,Pass,0,
"Parameters: PW=7p, Vdd_col=850m",,,
141,Vdd_col,850e-3,
141,PW,7e-12,
141,Pass,0,
"Parameters: PW=7p, Vdd_col=875m",,,
142,Vdd_col,875e-3,
142,PW,7e-12,
142,Pass,0,
"Parameters: PW=7p, Vdd_col=900m",,,
143,Vdd_col,900e-3,
143,PW,7e-12,
143,Pass,0,
"Parameters: PW=7p, Vdd_col=925m",,,
144,Vdd_col,925e-3,
144,PW,7e-12,
144,Pass,0,
"Parameters: PW=7p, Vdd_col=950m",,,
145,Vdd_col,950e-3,
145,PW,7e-12,
145,Pass,0,
"Parameters: PW=7p, Vdd_col=975m",,,
146,Vdd_col,975e-3,
146,PW,7e-12,
146,Pass,0,
"Parameters: PW=7p, Vdd_col=1",,,
147,Vdd_col,1,
147,PW,7e-12,
147,Pass,0,
"Parameters: PW=8p, Vdd_col=500m",,,
148,Vdd_col,500e-3,
148,PW,8e-12,
148,Pass,0,
"Parameters: PW=8p, Vdd_col=525m",,,
149,Vdd_col,525e-3,
149,PW,8e-12,
149,Pass,1,
"Parameters: PW=8p, Vdd_col=550m",,,
150,Vdd_col,550e-3,
150,PW,8e-12,
150,Pass,1,
"Parameters: PW=8p, Vdd_col=575m",,,
151,Vdd_col,575e-3,
151,PW,8e-12,
151,Pass,1,
"Parameters: PW=8p, Vdd_col=600m",,,
152,Vdd_col,600e-3,
152,PW,8e-12,
152,Pass,1,
"Parameters: PW=8p, Vdd_col=625m",,,
153,Vdd_col,625e-3,
153,PW,8e-12,
153,Pass,1,
"Parameters: PW=8p, Vdd_col=650m",,,
154,Vdd_col,650e-3,
154,PW,8e-12,
154,Pass,1,
"Parameters: PW=8p, Vdd_col=675m",,,
155,Vdd_col,675e-3,
155,PW,8e-12,
155,Pass,1,
"Parameters: PW=8p, Vdd_col=700m",,,
156,Vdd_col,700e-3,
156,PW,8e-12,
156,Pass,1,
"Parameters: PW=8p, Vdd_col=725m",,,
157,Vdd_col,725e-3,
157,PW,8e-12,
157,Pass,1,
"Parameters: PW=8p, Vdd_col=750m",,,
158,Vdd_col,750e-3,
158,PW,8e-12,
158,Pass,1,
"Parameters: PW=8p, Vdd_col=775m",,,
159,Vdd_col,775e-3,
159,PW,8e-12,
159,Pass,1,
"Parameters: PW=8p, Vdd_col=800m",,,
160,Vdd_col,800e-3,
160,PW,8e-12,
160,Pass,1,
"Parameters: PW=8p, Vdd_col=825m",,,
161,Vdd_col,825e-3,
161,PW,8e-12,
161,Pass,1,
"Parameters: PW=8p, Vdd_col=850m",,,
162,Vdd_col,850e-3,
162,PW,8e-12,
162,Pass,0,
"Parameters: PW=8p, Vdd_col=875m",,,
163,Vdd_col,875e-3,
163,PW,8e-12,
163,Pass,0,
"Parameters: PW=8p, Vdd_col=900m",,,
164,Vdd_col,900e-3,
164,PW,8e-12,
164,Pass,0,
"Parameters: PW=8p, Vdd_col=925m",,,
165,Vdd_col,925e-3,
165,PW,8e-12,
165,Pass,0,
"Parameters: PW=8p, Vdd_col=950m",,,
166,Vdd_col,950e-3,
166,PW,8e-12,
166,Pass,0,
"Parameters: PW=8p, Vdd_col=975m",,,
167,Vdd_col,975e-3,
167,PW,8e-12,
167,Pass,0,
"Parameters: PW=8p, Vdd_col=1",,,
168,Vdd_col,1,
168,PW,8e-12,
168,Pass,0,
"Parameters: PW=9p, Vdd_col=500m",,,
169,Vdd_col,500e-3,
169,PW,9e-12,
169,Pass,1,
